output_name,epoch,time,load_1,load_5,load_15,memory_free,cpu-user,cpu-system,cpu-steal,cpu-softirq,cpu-nice,cpu-irq,cpu-iowait,cpu-idle,cpu_percentage
dafav1,1678098183,2023-03-06 17:23:03 ,8.74,7.01,5.41,200527872.0,989722.68,12862.0,851.9000000000001,6944.6900000000005,125.03,0.0,102.81,791094.65,78.34503603098808
dafav1,1678098303,2023-03-06 17:25:03 ,5.62,6.81,5.56,243576832.0,990179.7100000001,12874.41,852.01,6955.13,125.03,0.0,102.81,791094.65,78.30782079086008
dafav1,1678098423,2023-03-06 17:27:03 ,10.84,8.6,6.36,248352768.0,990616.97,12897.43,852.15,6974.759999999999,125.03,0.0,102.81,791094.65,78.270638566483
dafav1,1678098543,2023-03-06 17:29:03 ,5.14,7.1,6.08,199122944.0,991061.1599999999,12904.11,852.28,6978.66,125.03,0.0,102.81,791119.6000000001,78.23790412978006
dafav1,1678098663,2023-03-06 17:31:03 ,4.51,6.31,5.92,252260352.0,991516.97,12918.5,852.48,6988.3,125.03,0.0,102.81,791119.6000000001,78.20079483687077
dafav1,1678098783,2023-03-06 17:33:03 ,7.79,7.0,6.21,259051520.0,991960.33,12938.63,852.62,7004.700000000001,125.03,0.0,102.81,791119.6000000001,78.16371686880609
dafav1,1678098903,2023-03-06 17:35:03 ,6.33,6.38,6.06,211169280.0,992430.58,12944.0,852.74,7008.98,125.03,0.0,102.81,791119.6000000001,78.12667327268882
dafav1,1678099023,2023-03-06 17:37:03 ,5.46,6.46,6.16,198103040.0,992881.0700000001,12959.859999999999,852.8599999999999,7022.570000000001,125.03,0.0,102.81,791119.6000000001,78.0896616883528
dafav1,1678099143,2023-03-06 17:39:03 ,4.32,5.71,5.92,204992512.0,993359.98,12960.82,852.98,7022.61,125.03,0.0,102.81,791119.6000000001,78.0526874652374
dafav1,1678099263,2023-03-06 17:41:03 ,4.09,5.16,5.69,201146368.0,993838.67,12961.829999999998,853.28,7022.66,125.03,0.0,102.81,791119.6000000001,78.01576054853257
dafav1,1678099383,2023-03-06 17:43:03 ,4.01,4.77,5.48,200777728.0,994317.6,12962.73,853.4000000000001,7022.7300000000005,125.03,0.0,102.81,791119.6000000001,77.97885702643458
dafav1,1678099503,2023-03-06 17:45:03 ,6.01,4.94,5.44,187174912.0,994788.3099999999,12968.119999999999,853.53,7026.55,125.03,0.0,102.81,791119.6000000001,77.94198686473116
dafav1,1678099623,2023-03-06 17:47:03 ,5.97,5.91,5.78,258895872.0,995237.5299999999,12984.65,853.76,7040.62,125.03,0.0,102.81,791119.6000000001,77.9051592243135
dafav1,1678099743,2023-03-06 17:49:03 ,6.05,5.89,5.78,249262080.0,995684.01,13002.79,853.9000000000001,7055.900000000001,125.03,0.0,102.81,791119.6000000001,77.86836023808328
dafav1,1678099863,2023-03-06 17:51:03 ,4.98,5.41,5.6,204816384.0,996158.99,13005.77,854.06,7057.860000000001,125.03,0.0,102.81,791119.6000000001,77.83159446846038
dafav1,1678099983,2023-03-06 17:53:03 ,4.86,5.46,5.62,231256064.0,996610.53,13019.740000000002,854.2199999999999,7072.219999999999,125.03,0.0,102.81,791119.6000000001,77.794867225565
dafav1,1678100103,2023-03-06 17:55:03 ,6.86,5.86,5.73,240300032.0,997059.66,13035.81,854.3299999999999,7086.94,125.03,0.0,102.81,791119.6000000001,77.75817080671243
dafav1,1678100223,2023-03-06 17:57:03 ,4.48,5.27,5.53,226099200.0,997537.3099999999,13037.55,854.52,7087.43,125.03,0.0,102.81,791119.6000000001,77.72151204570575
dafav1,1678100343,2023-03-06 17:59:03 ,5.06,5.44,5.57,240545792.0,997985.62,13055.15,854.65,7101.37,125.03,0.0,102.81,791119.6000000001,77.68489012215383
dafav1,1678100463,2023-03-06 18:01:03 ,6.64,5.67,5.62,198811648.0,998420.5499999999,13071.29,855.63,7116.51,125.03,0.0,102.82000000000001,791131.52,77.65051143648017
dafav1,1678100583,2023-03-06 18:03:03 ,4.4,5.14,5.43,217112576.0,998898.98,13072.48,855.76,7116.8,125.03,0.0,102.82000000000001,791131.52,77.61395235870451
dafav1,1678100703,2023-03-06 18:05:03 ,4.05,4.76,5.25,218046464.0,999377.87,13073.4,855.9100000000001,7116.84,125.03,0.0,102.82000000000001,791131.52,77.57743225419328
dafav1,1678100823,2023-03-06 18:07:03 ,4.07,4.53,5.11,212172800.0,999856.75,13074.41,856.0600000000001,7116.860000000001,125.03,0.0,102.82000000000001,791131.52,77.54094194151627
dafav1,1678100943,2023-03-06 18:09:03 ,4.01,4.35,4.97,207446016.0,1000335.6199999999,13075.43,856.1899999999999,7116.88,125.03,0.0,102.82000000000001,791131.52,77.50448594079967
dafav1,1678101063,2023-03-06 18:11:03 ,6.68,4.93,5.08,197931008.0,1000771.25,13092.740000000002,856.73,7131.94,125.03,0.0,102.82000000000001,791142.23,77.47001641501141
dafav1,1678101183,2023-03-06 18:13:03 ,4.4,4.65,4.96,249225216.0,1001248.51,13095.11,856.87,7132.25,125.03,0.0,102.82000000000001,791142.23,77.43362527837327
dafav1,1678101303,2023-03-06 18:15:03 ,5.38,5.25,5.16,228257792.0,1001695.84,13111.970000000001,857.03,7147.96,125.03,0.0,102.82000000000001,791142.23,77.39727134347937
dafav1,1678101423,2023-03-06 18:17:03 ,6.97,5.62,5.29,197111808.0,1002146.44,13127.61,857.3199999999999,7161.46,125.03,0.0,102.82000000000001,791142.23,77.36096363127746
dafav1,1678101543,2023-03-06 18:19:03 ,4.48,5.13,5.14,241172480.0,1002620.67,13131.48,857.45,7163.28,125.03,0.0,102.82000000000001,791142.23,77.32467636399859
dafav1,1678101663,2023-03-06 18:21:03 ,4.44,4.98,5.09,238067712.0,1003044.1499999999,13150.689999999999,857.78,7177.42,125.03,0.0,102.87,791165.0499999999,77.29239217782067
dafav1,1678101783,2023-03-06 18:23:03 ,6.13,5.22,5.15,191254528.0,1003499.5399999999,13162.869999999999,857.9300000000001,7189.74,125.03,0.0,102.87,791165.0499999999,77.25617250331163
dafav1,1678101903,2023-03-06 18:25:03 ,4.4,4.89,5.04,239063040.0,1003971.21,13167.939999999999,858.07,7192.89,125.03,0.0,102.87,791165.0499999999,77.21998675841259
dafav1,1678102023,2023-03-06 18:27:03 ,5.38,5.33,5.2,231251968.0,1004418.91,13185.48,858.27,7207.45,125.03,0.0,102.87,791165.0499999999,77.18384167232384
dafav1,1678102143,2023-03-06 18:29:03 ,5.55,5.27,5.18,184344576.0,1004880.9600000001,13196.32,858.4000000000001,7214.49,125.03,0.0,102.87,791165.0499999999,77.14772062831324
dafav1,1678102263,2023-03-06 18:31:03 ,4.32,4.94,5.07,248250368.0,1005352.1499999999,13201.699999999999,858.68,7217.71,125.03,0.0,102.87,791165.0499999999,77.1116438989159
dafav1,1678102383,2023-03-06 18:33:03 ,5.7,5.36,5.21,254971904.0,1005799.6000000001,13220.039999999999,858.82,7231.79,125.03,0.0,102.87,791165.0499999999,77.07559488801394
dafav1,1678102503,2023-03-06 18:35:03 ,5.41,5.21,5.16,191475712.0,1006260.4500000001,13231.02,858.94,7239.880000000001,125.03,0.0,102.87,791165.0499999999,77.03957581569082
dafav1,1678102623,2023-03-06 18:37:03 ,4.61,5.16,5.16,257032192.0,1006726.5299999999,13239.119999999999,859.1,7245.59,125.03,0.0,102.87,791165.0499999999,77.00359264102008
dafav1,1678102743,2023-03-06 18:39:03 ,4.96,5.19,5.17,274006016.0,1007172.77,13257.91,859.26,7260.41,125.03,0.0,102.87,791165.0499999999,76.96764605934557
dafav1,1678102863,2023-03-06 18:41:03 ,5.64,5.17,5.15,221097984.0,1007636.3799999999,13266.85,859.69,7267.459999999999,125.03,0.0,102.87,791165.0499999999,76.93175172478601
dafav1,1678102983,2023-03-06 18:43:03 ,4.69,5.19,5.18,267919360.0,1008099.45,13275.77,859.81,7275.379999999999,125.03,0.0,102.87,791165.0499999999,76.89586768505707
dafav1,1678103103,2023-03-06 18:45:03 ,5.41,5.3,5.22,253386752.0,1008546.08,13293.45,859.94,7290.969999999999,125.03,0.0,102.87,791165.0499999999,76.86001785189687
dafav1,1678103223,2023-03-06 18:47:03 ,5.9,5.31,5.21,193884160.0,1009013.93,13301.099999999999,860.0699999999999,7295.36,125.03,0.0,102.87,791165.0499999999,76.82420217644072
dafav1,1678103343,2023-03-06 18:49:03 ,4.7,5.22,5.2,265117696.0,1009458.5800000001,13312.47,860.29,7305.99,125.03,0.0,102.87,791177.9700000001,76.7906606368402
dafav1,1678103463,2023-03-06 18:51:03 ,4.88,5.13,5.17,255504384.0,1009906.63,13329.27,860.55,7320.88,125.03,0.0,102.87,791177.9700000001,76.75492130907496
dafav1,1678103583,2023-03-06 18:53:03 ,5.45,5.06,5.12,215523328.0,1010376.7000000001,13334.75,860.67,7325.23,125.03,0.0,102.87,791177.9700000001,76.71920332995438
dafav1,1678103703,2023-03-06 18:55:03 ,4.63,5.03,5.12,253718528.0,1010833.87,13346.43,860.78,7336.33,125.03,0.0,102.87,791177.9700000001,76.6835148619591
dafav1,1678103823,2023-03-06 18:57:03 ,4.89,5.02,5.1,264278016.0,1011281.3600000001,13364.23,860.93,7350.89,125.03,0.0,102.87,791177.9700000001,76.6478670073652
dafav1,1678103943,2023-03-06 18:59:03 ,4.5,4.73,4.97,201773056.0,1011730.17,13368.279999999999,861.04,7353.59,125.03,0.0,102.87,791202.2799999999,76.6164083714069
dafav1,1678104063,2023-03-06 19:01:03 ,4.61,4.89,5.02,256856064.0,1012183.7000000001,13382.58,861.45,7365.39,125.03,0.0,102.87,791202.2799999999,76.58084026652338
